by,descendants,id,score,text,time,title,type,url,domain
devchris10,22,23599454,11,"IMO, stack overflow is becoming a Google for devs.<p>Is there a facebook&#x2F;linkedin for devs or technical people?<p>What would it take for you to join one?",1592829152,Ask HN: Social Network for Engineers?,story,,
rreyes1979,4,23599167,8,Is it worth it to buy an Intel Mac as your dev workstation anymore?,1592826336,Ask HN: What will happen with Mac as a dev platform after ARM?,story,,
federicoponzi,133,23582602,296,"Hello HN,
I have a personal CS blog named X. When you search for X on google, on the right side, it will show a business located somewhere, with that very same name X. This business is for helping people for computer problems. They&#x27;re even showing my website url.<p>If you search for the X business name on official channels, it doesn&#x27;t exists obviously. I&#x27;ve tried to have at least my website removed from the listing, but fun fact my removal request is handled by the listing owner itself. I&#x27;ve contacted Google directly, the answer was along the lines of the following:<p>&gt; We don&#x27;t care if the business is using your website name and your url, we are just showing information. If you want to get the website removed please contact the owner of that listing.<p>What makes me angry is that I legally hold the mark name in europe. It&#x27;s possible to check my name on the whois of that website. And there is no way for me to get that sh*t removed.
What&#x27;s also incredible, is that people will need to do all the verification crap for singing on adsense, but everyone can put every website in the listing with no verification and no one can&#x27;t do anything about that.<p>What is even worst is that business will be associated with myself, and my users might call that business thinking to be speaking with me. And a business showing false information doesn&#x27;t seems a business to trust. I&#x27;ve also explicitly talked about this, but Google didn&#x27;t care.<p>Please HN. Tell me what to do.",1592641367,Ask HN: Google won't remove my site URL from random business using it on Maps,story,,
MaysonL,1,23606021,2,&quot;Xcode 12 for macOS Universal Apps Beta Release Notes&quot; calls out macOS 11…,1592857446,"Up to 11 Apple silicon macOS will be v11.0, according to Xcode release notes",story,,
raoof,1,23605652,5,"Hi everybody. I&#x27;ve got lots of free time to write an App but I just have some preconditions<p>1. at least have some users<p>2. it has to be useful<p>3. challenging (optional)<p>4. ambitious (optional)<p>5. make some money through patreon or something (I hope)<p>I have some ideas myself but I don&#x27;t know if they meet my preconditions.<p>1. a visual programming tool&#x2F;environment like Opus Magnum or Factorio<p>2. a timeline widget that each frame count as a state in a State Machine (like in Adobe Flash) and you write your program by adjusting the timeline
   and write code in each frame and you can put the user input as a layer and time travel the whole state of your program like an animation<p>3. turn source code into a State Machine graph where each node is a state of the program and each edge is either a
   user input or time or some condition to make it easier to understand and modify the software.<p>4. transpile natural language to programming language. for example:<p><pre><code>     sort the array [3, 1, 2] in ascending order and name it arr1.

   when we type that the compiler try to find a template that match that sentence for example:

     sort the array $param1:[]Int in ascending order and name it $param2:Symbol

   and there could be many implementation for this sentence in any programming language that we want
</code></pre>
5. I wrote PostgRESTui. it&#x27;s postgrest + static server ( + auto generated admin backend, could be added )<p>6. generate backend for your frontend. for example you write your frontend like this.<p><pre><code>     let productItem = (p) =&gt; `&lt;div&gt;&lt;a href=&quot;&#x2F;product&#x2F;${p.id}&quot;&gt;${p.name}&lt;&#x2F;a&gt;&lt;img src=&quot;${p.img}&quot;&gt;&lt;&#x2F;div&gt;`
     pages[&quot;^&#x2F;$&quot;] = (req, db) =&gt; `home page ${db.products.map(productItem).join(&quot;&quot;)}`

   and it figures out what you need for your backend.
   </code></pre>
so do you think any of my ideas worth pursuing or do you having some idea of your own
that you don&#x27;t have time to work on but hoping somebody else does. please let me know.",1592856112,Ask HN: What tools can I build to make your job/life a little bit easier?,story,,
weeeee,3,23604814,6,"I&#x27;m working on a IOT physical product that runs Linux and will be sold to customers. This product has a server with a SSD and contains source code in addition to secrets used to communicate with a backend.<p>The product is early on in the development stages and we currently use LUKS. Our technicians enter in the decryption password to unlock these servers at the beginning of the day.<p>When this product makes it to production, providing our customers with the decryption key is definitely a no-go. We need to guarantee that our source code and secrets are protected in addition to ensuring that the system hasn&#x27;t been tampered with.<p>What are some common ways to handle this in physical products? Any links or tips on this topic would be massively appreciated!",1592853549,How to handle Linux system integrity and secrets on physical product?,story,,
hmottestad,0,23604271,3,"With Zerodium mentioning that they pause purchasing of a bunch of zero days for iOS back in May (1) and with a new jailbreak for all iOS devices running (at the time) the latests iOS, I was expecting a lot more at WWDC.<p>I think that the biggest thing I was expecting except for ARM Macs was a new focus on delivering security updates faster and more directly, hopefully without the full stop-the-world iOS updates that I always end up postponing.<p>Anyone feel the same?<p>1: https:&#x2F;&#x2F;twitter.com&#x2F;Zerodium&#x2F;status&#x2F;1260541578747064326",1592852168,Apple's lack of security focus this WWDC,story,,
Foe,58,23596471,77,"For example, I&#x27;m currently reading Designing Data-Intesive Applications and am taking notes digitally on OneNote (one page per chapter).<p>How do you guys do it?",1592786144,Ask HN: How do you take notes when reading a book?,story,,
lepetitpedre,5,23598121,10,"I&#x27;ve always wondered why is there no good service to pay small amounts, 10,50 100 cents, to creators? Similarly to paid content behind paywalls. I often find myself thinking, I would pay a buck to read this article, but I don&#x27;t want to commit in paying 10 bucks a month.",1592812630,Ask HN: Why is there no good micro payments service online?,story,,
grekain1,6,23600527,9,"Hello,<p>we&#x27;ve been looking into undersea cable landing stations (landing points&#x2F;landing sites) and found that many authors call them &quot;critical infrastructures&quot; and yet heavily lacking in security [1][2][3].<p>Most of them are privately owned and outside the jurisdiction of the country they&#x27;re based in. As such, the owners are responsible for their maintenance, safety, and security. While damage to the undersea cables themselves are highly present and well documented, attacks (or accidents) on and in the landing stations seem to not be present at all. These attacks could be anything from bombing, to sabotage, or wiretapping.<p>Undersea cables that are not immediately located on the shore are extremely hard to reach (on the ocean floor) and mostly damaged by ship anchors. There has been intentional cutting of the cables with the intent to sell them, but single cable failures often do not cause any damage to the global internet traffic. By attacking a landing station, you could take out all the cables which are bundled there. This has been identified as a highly attractive target to terrorists and state-actors [1][4].<p>So we&#x27;re stumped, if taking out these landing stations is &quot;so easy&quot;, and would cause a great amount of damage, why are no attacks on them reported?<p>Thank you!<p>[1]: Michael Sechrist; New Threats, Old Technology: Vulnerabilities in Undersea Communications Cable Network Management Systems
[2]: Detecon Asia-Pacific Ltd; Economic Impact of Submarine Cable Disruptions
[3]: Aisha Suliman Alazri; The Threat and Vulnerabilities of Submarine Cables in Information Security and Telecommunication
[4]: Office of the Director of National Intelligence; Threats to Undersea Cable Communications",1592836009,Why don't we see attacks on undersea cable landing stations?,story,,
mishftw,4,23596970,8,"I&#x27;m a recent grad and have been working on small startup teams. With the pandemic, it&#x27;s been kind of a ping pong because funding has fallen through a few times. I work with subject matter experts but they aren&#x27;t the technical mentors I&#x27;ve had in prior roles (someone who can review my code, provide meaningful guidance on systems design, etc). I am lucky to have a group of mentors I&#x27;ve cultivated over the years. But it&#x27;s harder to find technical mentorship - not necessarily day to day but on a rather frequent basis. How do you all find technical mentorship? Open to answers from anyone&#x2F;everyone who would like to share.",1592793241,Ask HN: How do you get technical mentorship?,story,,
shimmmaz,520,23592788,211,While we were all in lockdown a lot of makers have been making incredible things. So I decided to make Lockdown Showcase to showcase all those products.<p>Post your own product or browse through other ones here: https:&#x2F;&#x2F;lockdownshowcase.com&#x2F;,1592755548,Ask HN: What did you make during lockdown?,story,,
cryptozeus,10,23596413,8,Our company offers few thousand dollars each year for employees to use it of loose it towards education. I have was thinking of using them for conference however They are no longer happening so bought few books. Still have some money left so looking for good suggestions.,1592785394,Ask HN: Where to spend company’s education budget?,story,,
ncmncm,1,23598537,4,"RISC-V is an important development, but its academic roots show in its poor bit-manipulation capabilities. The Bitmanip extension, while an impressive effort, has languished, and in any case will not be implemented in most chips even if ever adopted, as it appears huge, and any particular application needs only a subset of it.<p>A huge part of the value of the Bitmanip extension would be provided by a single, minimal POPCNT instruction. How does one go about getting that into the next release of the base or &quot;C&quot; compressed instruction set? Is there any possibility of getting it into  &quot;C&quot; compressed but not base set? Of Bitmanip claiming any part of the &quot;C&quot; code space?",1592817902,Ask HN: How to add POPCNT to the next RISC-V base or “C” set?,story,,
wizardofmysore,5,23589450,12,I&#x27;ve been trying to come up with a good process to write technical articles but they never seem to get over a couple of views.<p>It feels like the ideas are great but the writing isn&#x27;t.<p>What&#x27;s a step by step process to come up with a great article?<p>How do I learn to write well?,1592709250,Ask HN: How to write a good technical article?,story,,
getpolarized,9,23593792,6,"The issue with Hey being blocked by Apple has made me want to build a central list of issues that are problematic and anti-competitive and place a harsh burden on independent developers:<p>https:&#x2F;&#x2F;www.theverge.com&#x2F;2020&#x2F;6&#x2F;18&#x2F;21296180&#x2F;apple-hey-email-app-basecamp-rejection-response-controversy-antitrust-regulation<p>I think a short list would be:<p>- requiring &#x2F; forcing the use of their APIs
- arbitrary reasons for termination of your app
- when deleting + restoring your app all reviews are lost
- No ability for developers to report false reviews<p>... this has been evolving for a decade or more so would be nice to hear what you guys thing as I&#x27;m sure I&#x27;m missing some.",1592762220,"Ask HN: As a dev, what are the major anti-competitive issues with App Stores?",story,,
xfour,12,23588159,14,"My company has done what appears to be the standard for the non-faang company WFH until the end of the year.<p>My city has decided to build a road through my backyard, making me want to move. I have the gamble a bit, so looking for everyone’s opinions.<p>Has WFH hit the tipping point where it’s just the new normal, or should I expect to still need to remain in the Bay Area?",1592694003,Ask HN: Is remote work here forever?,story,,
anthonygore,0,23581984,9,"I&#x27;ve just completed the first module of a new course &quot;Build a Single-Page App with Vue 3 &amp; Vue CLI&quot;.<p>This course is designed for people who know the basics of Vue but may not yet be confident building their own single-page app.<p>This will be a paid course when it&#x27;s complete, but while I&#x27;m working on it you&#x27;re welcome to join for free!<p>The first module is ready, and I&#x27;ll be releasing new modules every week until it&#x27;s complete.<p>Find out more or enroll here:<p>https:&#x2F;&#x2F;courses.vuejsdevelopers.com&#x2F;p&#x2F;spa-router-cli&#x2F;",1592631536,Free Course Build a Single-Page App with Vue Router and Vue CLI,story,,
bryanmillstein,23,23584241,20,"Hi everyone,<p>I’m a software developer trying to better understand the causes of anxiety in the workplace. It&#x27;s research for a side project.<p>I&#x27;ve been talking to different people (engineers and product managers mostly) and it&#x27;s been fascinating.<p>So much of the anxiety people experience is hidden or unknown. Just talking about it openly has been helpful. For example, being asked for status updates on dev tasks throughout the day makes me anxious. I didn&#x27;t realize this was a trigger until I spent time thinking about why these seemingly benign questions bother me so much.<p>I put together this three question anonymous survey so I can learn from the community. I&#x27;d love to hear from you.<p>https:&#x2F;&#x2F;airtable.com&#x2F;shrVmaCcoog9Nd4L7<p>Thank you,
Bryan",1592664626,What gives you anxiety at work?,story,,
econcon,67,23581414,70,"What do you recommend to physical product business which gets about 25-100 sales a day?<p>In case you are curious, what I sell it&#x27;s 3d printing fimament which I make in my garage:
https:&#x2F;&#x2F;medium.com&#x2F;endless-filament&#x2F;make-your-filament-at-home-for-cheap-6c908bb09922<p>I am a programmer but I do not like building something which already exists and e-commerce platform is boring for me also Shopify while is good but I need self hosted one for ideological reasons.",1592624350,Ask HN: Shopify self hosted e-commerce alternative?,story,,
